Partido,Tipo,Total pago
AVANTE,ALUGUÉIS E CONDOMÍNIOS ,9000
AVANTE,DESPESAS FINANCEIRAS ,657.65
AVANTE,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,600
DEM,ÁGUA E ESGOTO ,2712.02
DEM,ALUGUÉIS E CONDOMÍNIOS ,41964.03
DEM,ATIVO PERMANENTE ,10535.71
DEM,CONVENÇÕES PARTIDÁRIAS ,1637
DEM,CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ,1076
DEM,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS ,4834.7
DEM,DESPESAS FINANCEIRAS ,6004.04
DEM,ENERGIA ELÉTRICA ,8419.15
DEM,EVENTOS PROMOCIONAIS ,27000
DEM,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,31541.44
DEM,MATERIAL DE CONSUMO ,14990.46
DEM,PESSOAL ,98361.06
DEM,RECOLHIMENTOS AO ERÁRIO ,5297.23
DEM,SERVIÇOS CARTORÁRIOS ,354.26
DEM,SERVIÇOS TÉCNICO-PROFISSIONAIS ,338071.23
DEM,TELECOMUNICAÇÕES E INTERNET ,14114.6
DEM,TRANSPORTES E VIAGENS ,62719.12
DEM,TRIBUTOS ,11007.88
MDB,ADIANTAMENTOS DIVERSOS ,1277.06
MDB,ÁGUA E ESGOTO ,2675.96
MDB,ALUGUÉIS E CONDOMÍNIOS ,44909.79
MDB,ASSINATURAS E AQUISIÇÕES DE PERIÓDICOS ,1866.5
MDB,ATIVO PERMANENTE ,35624.3
MDB,CONVENÇÕES PARTIDÁRIAS ,58502
MDB,CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ,280
MDB,DESPESAS FINANCEIRAS ,11364.26
MDB,ENERGIA ELÉTRICA ,17839.31
MDB,EVENTOS PROMOCIONAIS ,90079.2
MDB,LANCHES E REFEIÇÕES ,8181.97
MDB,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,67540.71
MDB,MATERIAL DE CONSUMO ,27174.45
MDB,OUTRAS DESPESAS GERAIS ,22219.42
MDB,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,236750
MDB,PESSOAL ,490929.85
MDB,PRODUÇÃO DE AUDIOVISUAIS ,27925.64
MDB,PROPAGANDA E PUBLICIDADE ,2955
MDB,PUBLICAÇÕES ,990
MDB,SEGURANÇA E VIGILÂNCIA ,2545.11
MDB,SEMINÁRIOS ,253
MDB,SERVIÇOS CARTORÁRIOS ,311.86
MDB,SERVIÇOS DE LIMPEZA ,50
MDB,SERVIÇOS POSTAIS ,2490.26
MDB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,123790.5
MDB,TELECOMUNICAÇÕES E INTERNET ,24828.67
MDB,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,3500
MDB,TRANSPORTES E VIAGENS ,196398.43
MDB,TRIBUTOS ,6640.68
NOVO,ALUGUÉIS E CONDOMÍNIOS ,18000
NOVO,DESPESAS FINANCEIRAS ,1152.2
