Partido,Tipo,Total pago
AVANTE,ALUGUÉIS E CONDOMÍNIOS ,9000
AVANTE,DESPESAS FINANCEIRAS ,657.65
AVANTE,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,600
DEM,PESSOAL ,98361.06
DEM,SERVIÇOS TÉCNICO-PROFISSIONAIS ,338071.23
DEM,TRANSPORTES E VIAGENS ,62719.12
MDB,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,236750
MDB,PESSOAL ,490929.85
MDB,TRANSPORTES E VIAGENS ,196398.43
NOVO,ALUGUÉIS E CONDOMÍNIOS ,18000
NOVO,EVENTOS PROMOCIONAIS ,1700
NOVO,SERVIÇOS TÉCNICO-PROFISSIONAIS ,26164.34
PATRI,ALUGUÉIS E CONDOMÍNIOS ,5000
PATRI,CONVENÇÕES PARTIDÁRIAS ,1180
PATRI,SERVIÇOS TÉCNICO-PROFISSIONAIS ,2000
PCDOB,ALUGUÉIS E CONDOMÍNIOS ,10117.08
PCDOB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,9900
PCDOB,TRIBUTOS ,9751.44
PDT,ALUGUÉIS E CONDOMÍNIOS ,38890
PDT,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,71100
PDT,SERVIÇOS TÉCNICO-PROFISSIONAIS ,25100
PHS,DESPESAS FINANCEIRAS ,185.8
PL,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,49100
PL,PESSOAL ,56606.79
PL,SERVIÇOS TÉCNICO-PROFISSIONAIS ,58150
PMN,DESPESAS FINANCEIRAS ,207
PPS,ALUGUÉIS E CONDOMÍNIOS ,2400
PPS,DESPESAS FINANCEIRAS ,2971
PPS,SERVIÇOS TÉCNICO-PROFISSIONAIS ,4593
PROS,OUTRAS DESPESAS GERAIS ,60300
PROS,PROPAGANDA E PUBLICIDADE ,84330
PROS,SERVIÇOS TÉCNICO-PROFISSIONAIS ,64900
PRP,ALUGUÉIS E CONDOMÍNIOS ,6900
PRP,SERVIÇOS TÉCNICO-PROFISSIONAIS ,15044
PRP,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,7632
PRTB,DESPESAS FINANCEIRAS ,322.25
PRTB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,1874
PSB,ADIANTAMENTOS DIVERSOS ,1e+05
PSB,ALUGUÉIS E CONDOMÍNIOS ,303250
PSB,MATERIAL DE CONSUMO ,100531.37
PSC,ALUGUÉIS E CONDOMÍNIOS ,21910
PSC,PESSOAL ,223604.48
PSC,SERVIÇOS TÉCNICO-PROFISSIONAIS ,16800
PSD,ALUGUÉIS E CONDOMÍNIOS ,91112
PSD,PESSOAL ,253012.54
PSD,SERVIÇOS TÉCNICO-PROFISSIONAIS ,33228
PSDB,ALUGUÉIS E CONDOMÍNIOS ,249360.31
PSDB,PESSOAL ,378676.13
PSDB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,529230.41
PSL,ALUGUÉIS E CONDOMÍNIOS ,18680
PSL,MATERIAL DE CONSUMO ,5500
PSL,TRANSPORTES E VIAGENS ,2000
PSOL,ALUGUÉIS E CONDOMÍNIOS ,1280
PSOL,ATIVO PERMANENTE ,3572.13
PSOL,PROPAGANDA E PUBLICIDADE ,1740
PSTU,ALUGUÉIS E CONDOMÍNIOS ,8250
PSTU,DESPESAS FINANCEIRAS ,1120.07
PSTU,DESPESAS JUDICIAIS ,7505.06
PT,ATIVO PERMANENTE ,103675
PT,PESSOAL ,163090.36
PT,SERVIÇOS TÉCNICO-PROFISSIONAIS ,394973.16
PTB,ALUGUÉIS E CONDOMÍNIOS ,134178.45
PTB,PROPAGANDA E PUBLICIDADE ,160000
PTB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,124790
PV,DESPESAS FINANCEIRAS ,5102.29
REDE,ALUGUÉIS E CONDOMÍNIOS ,5240
REDE,SERVIÇOS TÉCNICO-PROFISSIONAIS ,6103
REDE,TRANSPORTES E VIAGENS ,13057.03
REPUBLICANOS,ALUGUÉIS E CONDOMÍNIOS ,39899.57
REPUBLICANOS,MATERIAL DE CONSUMO ,20803.3
REPUBLICANOS,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,59100
SDD,ALUGUÉIS E CONDOMÍNIOS ,36720
SDD,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,9500
SDD,SERVIÇOS TÉCNICO-PROFISSIONAIS ,44037.5
